Stock,Date,Price,Open,High,Low,Vol.,Change %,Daily Price Change,Daily % Change,High–Low Range,High–Low % Range,Previous Close,Daily Return %,Volume % Change,Month / Year,Day Type
HDFC,13-08-2024,799.61,811.98,814.17,798.59,54060000,-3.43%,-12.37,-0.015234365,15.58,0.019509385,801.90,-0.00285572,0.67,Aug-2024,Down Day
HDFC,12-08-2024,827.99,823.95,835.9,821.63,39320000,0.60%,4.04,0.00490321,14.27,0.017367915,799.61,0.03549230,-0.27,Aug-2024,Up Day
HDFC,09-08-2024,823.05,823.95,829.21,820.86,26640000,0.46%,-0.9,-0.001092299,8.35,0.010172258,827.99,-0.00596626,-0.32,Aug-2024,Down Day
HDFC,08-08-2024,819.31,809.98,824.6,807.62,33980000,1.18%,9.33,0.011518803,16.98,0.021024739,823.05,-0.00454407,0.28,Aug-2024,Down Day
HDFC,07-08-2024,809.74,806.49,812.98,799.11,42350000,1.39%,3.25,0.004029808,13.87,0.017356809,819.31,-0.01168056,0.25,Aug-2024,Down Day
HDFC,06-08-2024,798.61,812.98,814.45,794.67,45120000,-0.90%,-14.37,-0.017675712,19.78,0.024890835,809.74,-0.01374515,0.07,Aug-2024,Down Day
HDFC,05-08-2024,805.87,818.01,820.96,798.51,41330000,-2.62%,-12.14,-0.014840894,22.45,0.028114864,798.61,0.00909080,-0.08,Aug-2024,Up Day
HDFC,02-08-2024,827.52,813.48,833.18,813.48,44120000,1.24%,14.04,0.017259183,19.70,0.024216944,805.87,0.02686538,0.07,Aug-2024,Up Day
HDFC,01-08-2024,817.37,809.44,822.98,806.97,26220000,1.43%,7.93,0.009796897,16.01,0.019839647,827.52,-0.01226556,-0.41,Aug-2024,Down Day
HDFC,31-07-2024,805.87,805,811.93,802.6,37820000,0.01%,0.87,0.001080745,9.33,0.01162472,817.37,-0.01406952,0.44,Jul-2024,Down Day
HDFC,30-07-2024,805.77,799.01,815.35,797.52,54600000,0.65%,6.76,0.00846047,17.83,0.022356806,805.87,-0.00012409,0.44,Jul-2024,Down Day
HDFC,29-07-2024,800.53,805.5,813.9,797.17,51000000,-0.81%,-4.97,-0.006170081,16.73,0.020986741,805.77,-0.00650310,-0.07,Jul-2024,Down Day
HDFC,26-07-2024,807.07,800.51,808.86,796.24,43810000,0.10%,6.56,0.008194776,12.62,0.015849493,800.53,0.00816959,-0.14,Jul-2024,Up Day
HDFC,25-07-2024,806.29,794.52,810.48,794.52,25540000,0.78%,11.77,0.014813976,15.96,0.0200876,807.07,-0.00096646,-0.42,Jul-2024,Down Day
HDFC,24-07-2024,800.03,802.08,808.49,792.05,61730000,-0.89%,-2.05,-0.002555855,16.44,0.020756265,806.29,-0.00776396,1.42,Jul-2024,Down Day
HDFC,23-07-2024,807.19,821.73,821.86,800.51,52000000,-1.47%,-14.54,-0.017694376,21.35,0.026670498,800.03,0.00894966,-0.16,Jul-2024,Up Day
HDFC,22-07-2024,819.24,806.49,823.45,804.32,53740000,2.19%,12.75,0.015809247,19.13,0.023784066,807.19,0.01492833,0.03,Jul-2024,Up Day
HDFC,19-07-2024,801.66,805.99,809.49,799.76,26000000,-0.46%,-4.33,-0.005372275,9.73,0.01216615,819.24,-0.02145891,-0.52,Jul-2024,Down Day
HDFC,18-07-2024,805.4,802,809.96,797.59,33720000,-0.31%,3.4,0.004239401,12.37,0.015509222,801.66,0.00466532,0.30,Jul-2024,Up Day
HDFC,16-07-2024,807.86,808.36,811.48,806.39,28950000,-0.14%,-0.5,-0.000618536,5.09,0.006312082,805.40,0.00305438,-0.14,Jul-2024,Up Day
HDFC,15-07-2024,809.04,809.74,812.88,805.6,33380000,-0.04%,-0.7,-0.000864475,7.28,0.009036743,807.86,0.00146065,0.15,Jul-2024,Up Day
HDFC,12-07-2024,809.34,808.99,817.17,803.58,56050000,0.05%,0.35,0.000432638,13.59,0.01691182,809.04,0.00037081,0.68,Jul-2024,Up Day
HDFC,11-07-2024,808.94,809.96,810.91,798.51,44180000,-0.26%,-1.02,-0.001259321,12.40,0.015528923,809.34,-0.00049423,-0.21,Jul-2024,Down Day
HDFC,10-07-2024,811.03,812.95,817.96,808.36,45510000,-0.64%,-1.92,-0.002361769,9.60,0.011875897,808.94,0.00258363,0.03,Jul-2024,Up Day
HDFC,09-07-2024,816.22,810.48,821.31,808.16,48550000,0.07%,5.74,0.007082223,13.15,0.01627153,811.03,0.00639927,0.07,Jul-2024,Up Day
